Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,One Pharmaceuti,484.12,1300,20,,0.3724,24.206,,1,388.06,1060,15,,0.3660943396,25.870666667,,1,845.84,2460,29,12,0.3438373984,29.166896552,70.486666667,1,,,,,,,,,211.82,810,11,,0.2615061728,19.256363636,,1,,-0.084584908
Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,Global Diabetic,401035.54,700139.909,6399,2401,0.573123614,62.671595562,167.02854644,0,429131.57,729421,6665,2419,0.5883648324,64.385831958,177.40040099,0,380817.87,644495,5749,2073,0.5904158478,66.240714907,183.70374819,0,277887.4,468404,4240,1538,0.5922708617,65.539481132,180.6810143,0,230566.22,386811,3705,1291,0.5945067954,62.231098516,178.59505809,0,0.0037751878,0.0091997403
Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,Bd Medical Surg,1876.45,7280,121,47,0.2577541209,15.50785124,39.924468085,0,1272.37,5170,70,25,0.246106383,18.176714286,50.8948,0,588.6,2350,33,16,0.2504680851,17.836363636,36.7875,0,436.82,1770,24,,0.2467909605,18.200833333,,1,672.83,2700,44,18,0.2491962963,15.291590909,37.379444444,0,0.0097464504,-0.008405769
Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,Bd Diabetes,5181046.28,19844111.656,141157,54523,0.2609375006,36.704139929,95.024967078,0,4760573.92,17625762.909,121970,48316,0.269891363,39.030695417,98.529967713,0,4229633.01,15069328,103988,40706,0.2805244733,40.674241355,103.90686901,0,4124732.48,13637204.144,91613,37483,0.3022647722,45.023440778,110.04275218,0,3918411.46,12090974,79988,33326,0.3238288427,48.987491374,117.57821101,0,0.0713416599,0.0554672385
Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,American Sales,5145.13,34150,264,131,0.150814674,19.489128788,39.275801527,0,6475.6,35862,285,153,0.183300776,22.721403509,42.324183007,0,4311.38,24464,181,113,0.1764871014,23.819779006,38.15380531,0,1335.69,7740,54,32,0.1725653284,24.735,41.7403125,0,694.78,3850,29,18,0.1805039788,23.957931034,38.598888889,1,0.0460037391,0.0459496885
Insulin Syringe,"Syringe And Needle,Insulin,1ml",18,Overall,21504158.62,90092532.484,721359,259320,0.2418062364,29.810619428,82.925183634,0,19391364.58,78168050.243,619985,226703,0.2504658779,31.277151189,85.536426867,0,17669899.72,68251645.833,545812,198254,0.2606136255,32.373600654,89.127582394,0,16103115.56,58266578.576,467096,177334,0.2768744574,34.474959238,90.806701253,0,14041775.01,47912467.34,378805,148679,0.2942756931,37.068610525,94.443566408,0,0.0628488301,0.0503202131
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Walgreen Co.,2865189.98,16550541,130825,53314,0.1731851149,21.900936212,53.741793525,0,2560700.03,14877379,115809,46757,0.1722263901,22.111407835,54.766131916,0,2329961.83,13371912,102313,41495,0.174370821,22.77288155,56.150423666,0,1872441.65,10696167,82951,35559,0.1751413151,22.5728641,52.657320228,0,1427131.89,8083732,58074,26522,0.1767058137,24.574368736,53.809361662,0,0.0089327785,0.0050439857
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Wal-Mart Stores,1356402.53,10777401,81760,32101,0.1258559708,16.590050514,42.254214199,0,1028384.21,8168106,60675,23318,0.1259044681,16.949059909,44.102590702,0,854849.98,6782859,48252,18139,0.1260225205,17.716363674,47.127734715,0,655422.1,5194849,35980,14162,0.1261593103,18.216289605,46.280334698,0,498937.19,3952760,27461,10911,0.1262238877,18.168937402,45.7279067,0,0.0005118712,0.0007300293
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Ultimed Inc,1448271.01,5985259,52426,19010,0.2429116756,27.625052646,76.184692793,0,1337994.09,5378489.91,46383,17065,0.2499516466,28.846648341,78.405748022,0,1368551.36,5078808,43360,15828,0.2711522537,31.562531365,86.463947435,0,1353027.56,4606531,38026,14548,0.2959743268,35.581643086,93.004368985,0,1239292.77,3988957.333,32269,12970,0.3136327911,38.405056556,95.550714726,0,0.0596621487,0.0659657929
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,US Diagnostics,,,,,,,,,156037.41,228530,1240,580,0.6828231942,125.83662097,269.03001724,0,315600.14,445742,2175,1058,0.7081251731,145.10351264,298.29880907,0,229315.21,313118,1487,704,0.7310414803,154.21332213,325.73183239,0,83772.31,111030,667,352,0.7549953541,125.59566717,237.98951705,0,0.0327667778,0.0340590458
